Category,Name,Domain,Palette,Fonts,Pitch,Date
saas,AirAI,airai.com,#46ec17,#ec1746,#1746ec,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirAPI,airapi.com,#8f80e7,#80e78f,#e78f80,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirAR,airar.com,#8a309e,#309e8a,#9e8a30,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirARza,airarza.com,#4bec21,#ec214b,#214bec,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirAiza,airaiza.com,#c0b9c9,#b9c9c0,#c9c0b9,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirApp,airapp.com,#4f6330,#63304f,#304f63,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirAppla,airappla.com,#dc5c1e,#5c1edc,#1edc5c,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirBase,airbase.com,#5e73d9,#73d95e,#d95e73,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirBay,airbay.com,#ec550a,#550aec,#0aec55,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirBayra,airbayra.com,#05cc43,#cc4305,#4305cc,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirBeam,airbeam.com,#2601bb,#01bb26,#bb2601,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirBolt,airbolt.com,#e20967,#0967e2,#67e209,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirCore,aircore.com,#8b0f5a,#0f5a8b,#5a8b0f,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirDX,airdx.com,#2cfcb6,#fcb62c,#b62cfc,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirDXza,airdxza.com,#9a0fb1,#0fb19a,#b19a0f,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirDash,airdash.com,#860092,#009286,#928600,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirDeck,airdeck.com,#e3ac0f,#ac0fe3,#0fe3ac,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirDock,airdock.com,#a8cebe,#cebea8,#bea8ce,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirEX,airex.com,#0f2809,#28090f,#090f28,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirEXza,airexza.com,#659618,#961865,#186596,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirEdge,airedge.com,#1c72c7,#72c71c,#c71c72,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirFit,airfit.com,#357c8c,#7c8c35,#8c357c,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirFlow,airflow.com,#67fcac,#fcac67,#ac67fc,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirGate,airgate.com,#2e6e64,#6e642e,#642e6e,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirGear,airgear.com,#ae3a99,#3a99ae,#99ae3a,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirGo,airgo.com,#4592dc,#92dc45,#dc4592,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirGoza,airgoza.com,#6cc0a8,#c0a86c,#a86cc0,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirGrid,airgrid.com,#1dbc7a,#bc7a1d,#7a1dbc,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirHub,airhub.com,#b3c7d5,#c7d5b3,#d5b3c7,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirIO,airio.com,#2f1adb,#1adb2f,#db2f1a,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirIOra,airiora.com,#aad0e5,#d0e5aa,#e5aad0,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirIQ,airiq.com,#c2c09e,#c09ec2,#9ec2c0,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirIQra,airiqra.com,#7740f6,#40f677,#f67740,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirKey,airkey.com,#d018f3,#18f3d0,#f3d018,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirKeyra,airkeyra.com,#9920ef,#20ef99,#ef9920,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirKit,airkit.com,#583825,#382558,#255838,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirLab,airlab.com,#ad43e7,#43e7ad,#e7ad43,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirLink,airlink.com,#f01fd6,#1fd6f0,#d6f01f,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirLoop,airloop.com,#f81023,#1023f8,#23f810,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirLoopa,airloopa.com,#1f968c,#968c1f,#8c1f96,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirML,airml.com,#2e2de2,#2de22e,#e22e2d,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirMLza,airmlza.com,#64c99c,#c99c64,#9c64c9,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirMesh,airmesh.com,#7359cb,#59cb73,#cb7359,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirMode,airmode.com,#258f53,#8f5325,#53258f,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirNet,airnet.com,#dea4c2,#a4c2de,#c2dea4,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirNode,airnode.com,#69ecca,#ecca69,#ca69ec,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirOS,airos.com,#e33c63,#3c63e3,#63e33c,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirOne,airone.com,#3848dc,#48dc38,#dc3848,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirOps,airops.com,#550669,#066955,#695506,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirOpsra,airopsra.com,#34c6e6,#c6e634,#e634c6,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
saas,AirPath,airpath.com,#bb497e,#497ebb,#7ebb49,Inter/SF Pro,Launch, grow, and automate in minutes.,2026-01-21
